Date,HedgeIndex Main Index,HedgeIndex Convertible Arbitrage Composite Index,HedgeIndex Convertible Arbitrage Index,HedgeIndex Equity Market Neutral Composite Index,HedgeIndex Equity Market Neutral Index,HedgeIndex Event Driven Composite Index,HedgeIndex Event Driven Index,HedgeIndex Fixed Income Arbitrage Composite Index,HedgeIndex Fixed Income Arbitrage Index,HedgeIndex Global Macro Composite Index,HedgeIndex Global Macro Index,HedgeIndex Long/Short Equity Composite Index,HedgeIndex Long/Short Equity Index,HedgeIndex Managed Futures Composite Index,HedgeIndex Managed Futures Index,HedgeIndex Multi-Strategy Composite Index,HedgeIndex Multi-Strategy Index
2015-07,498.48,107.45,364.40,78.08,228.76,142.64,561.89,73.24,264.12,100.84,819.67,135.30,582.87,165.33,274.48,129.60,448.12
2015-08,488.51,107.24,363.36,79.24,230.77,138.24,546.12,72.78,263.89,98.29,798.09,130.47,571.63,159.91,266.92,128.61,445.75
2015-09,481.34,106.97,362.24,80.20,232.08,134.19,526.98,72.75,262.55,97.40,785.11,128.22,564.90,163.95,274.46,128.41,443.59
2015-10,483.64,107.91,365.49,79.49,230.56,134.92,527.44,72.77,261.88,98.24,794.96,131.91,574.43,160.12,267.40,128.92,443.66
2015-11,484.40,106.97,362.49,78.41,227.96,132.50,520.71,73.08,261.94,98.24,806.20,131.63,573.37,166.38,277.65,128.60,444.45
2015-12,480.09,105.69,359.51,79.96,231.36,131.43,513.79,73.40,262.14,96.12,789.61,131.00,572.94,162.17,271.55,128.25,445.06
2016-01,472.90,103.99,352.13,79.82,228.44,127.07,497.70,73.67,259.94,95.47,784.49,124.39,556.52,171.12,282.29,128.10,442.56
2016-02,467.39,103.78,351.51,78.30,226.59,124.91,488.28,73.89,257.01,93.19,771.69,122.22,546.30,175.77,291.13,126.88,438.47
2016-03,468.24,104.68,356.89,78.63,229.76,123.58,489.22,73.00,258.22,93.08,770.06,122.80,549.31,168.22,283.00,124.35,441.19
2016-04,469.38,105.86,361.84,78.58,227.56,124.06,496.89,73.54,261.62,92.76,771.25,123.07,544.96,162.18,274.18,123.76,442.54
2016-05,470.64,106.07,363.64,78.29,227.83,126.26,501.59,72.98,261.67,92.11,768.69,124.79,552.16,156.89,264.88,125.48,446.37
2016-06,469.70,106.52,365.33,77.62,221.82,125.16,498.34,72.38,260.09,94.42,773.24,121.76,541.24,163.13,275.77,125.48,445.47
2016-07,474.58,107.87,370.34,78.20,223.50,127.10,505.38,73.19,262.61,95.15,774.72,125.01,547.68,165.49,279.90,126.31,449.75
2016-08,476.28,109.05,374.59,77.98,223.49,128.02,511.56,73.41,264.32,94.83,775.25,126.31,549.49,159.94,270.93,127.20,453.19
2016-09,476.36,110.13,378.08,78.67,224.64,128.67,511.45,73.82,266.01,95.12,775.30,126.85,549.63,156.42,266.01,127.53,455.37
2016-10,474.98,109.96,377.94,78.22,223.77,128.49,510.47,73.57,266.86,95.29,786.48,126.48,543.83,149.98,254.36,127.33,455.36
2016-11,476.27,109.51,377.38,76.72,219.14,130.05,515.78,73.37,267.98,93.01,801.38,126.67,542.53,147.09,249.51,126.65,452.43
2016-12,480.35,109.67,378.43,76.42,217.79,131.05,521.57,73.84,270.14,95.08,809.18,126.81,546.61,146.18,249.73,128.91,459.12
2017-01,483.00,110.61,382.78,77.42,221.78,132.68,527.73,74.76,272.32,94.69,805.93,129.52,551.87,143.18,245.87,128.74,462.13
2017-02,487.18,111.73,386.74,76.56,218.98,134.10,532.85,74.90,274.00,96.68,807.70,130.68,558.87,146.49,251.57,129.93,465.95
2017-03,488.46,111.32,385.44,77.53,221.41,132.82,533.35,74.92,275.33,97.32,808.17,131.64,563.34,143.44,246.47,130.34,469.97
2017-04,489.85,111.41,386.03,78.95,221.48,134.00,535.65,75.38,275.94,97.38,802.39,132.39,570.75,141.83,244.82,130.93,473.13
2017-05,492.97,111.11,385.75,79.36,220.53,133.88,539.82,76.15,277.87,98.30,797.33,134.16,579.54,141.71,245.48,131.96,479.28
2017-06,489.87,110.47,384.51,80.02,221.24,134.62,536.61,76.30,278.44,97.51,790.63,134.11,577.58,136.30,237.17,132.42,478.34
2017-07,495.50,111.23,388.40,81.60,228.28,135.93,542.14,77.09,280.31,100.21,799.53,136.89,587.19,137.31,239.72,131.88,481.09
2017-08,497.57,111.17,386.66,81.87,230.09,134.76,537.42,77.48,281.36,101.34,801.02,137.61,591.04,140.68,245.91,132.16,483.83
2017-09,496.02,111.23,388.63,81.03,229.53,134.40,538.64,75.71,277.55,100.62,800.74,137.97,591.55,136.56,238.92,131.25,482.40
2017-10,501.60,111.84,389.59,81.18,227.76,134.56,539.02,75.63,279.39,103.10,805.82,139.88,602.84,143.42,250.62,131.88,484.56
2017-11,501.27,110.68,386.94,81.10,226.41,133.82,536.70,76.18,280.25,103.87,805.12,139.43,604.00,142.83,249.98,130.94,484.34
2017-12,504.93,111.47,390.07,81.50,231.42,136.88,543.99,76.24,282.28,105.87,811.67,140.84,607.95,145.01,253.62,130.35,481.20
2018-01,517.13,113.17,396.14,82.98,235.56,137.93,551.32,77.20,284.07,111.44,834.55,145.58,625.00,152.81,264.53,131.71,493.65
2018-02,505.02,113.23,391.65,81.76,231.22,136.92,542.99,76.43,284.70,105.05,816.13,143.47,611.62,138.43,243.86,128.83,481.94
2018-03,503.70,112.16,390.74,82.67,231.52,135.32,539.08,76.55,285.49,104.44,810.46,141.57,609.69,137.40,242.73,128.53,485.63
2018-04,502.84,112.26,390.58,81.82,232.29,135.54,540.04,76.23,285.89,103.21,809.61,141.53,609.97,137.48,240.70,128.63,483.04
2018-05,503.12,110.62,387.41,81.55,229.18,136.57,541.73,75.26,282.90,102.65,820.67,142.60,610.98,134.91,237.42,129.23,483.76
2018-06,500.86,109.56,385.08,80.88,228.44,137.26,544.05,74.81,282.75,101.12,815.72,140.30,603.58,135.00,240.30,130.25,483.09
2018-07,501.42,109.44,385.70,80.16,227.86,137.39,546.09,74.85,283.24,100.61,815.24,140.28,610.72,132.28,236.99,129.45,480.25
2018-08,500.84,109.02,383.37,80.68,227.62,137.71,545.71,74.60,283.41,98.71,807.32,139.51,609.55,137.01,242.38,129.44,482.49
2018-09,500.24,109.11,385.85,80.18,226.28,137.75,545.77,74.59,283.38,99.47,808.35,139.19,608.54,135.14,240.12,129.72,484.36
2018-10,485.68,107.32,379.35,76.92,220.81,135.32,529.06,73.66,281.92,90.03,794.67,132.34,578.91,129.53,230.90,128.14,473.62
2018-11,481.61,106.54,377.93,73.61,210.76,133.54,525.56,73.17,279.57,88.37,787.44,130.61,578.44,128.45,228.03,127.02,466.13
2018-12,474.68,104.89,370.44,75.11,213.41,128.95,507.87,72.82,277.51,87.43,787.73,127.80,562.84,130.46,229.25,127.02,462.35
2019-01,481.77,107.16,380.05,76.64,215.82,131.21,519.28,73.43,279.77,91.44,793.90,132.39,581.19,127.56,224.39,127.74,465.57
2019-02,485.78,107.94,381.36,75.82,215.75,131.11,526.41,73.54,281.17,91.25,791.96,134.00,588.18,129.06,225.06,127.24,468.13
2019-03,489.89,107.60,381.51,75.97,217.17,131.03,529.03,73.10,281.41,95.95,802.16,134.02,588.44,136.25,234.91,127.98,472.68
2019-04,495.16,108.24,384.65,74.01,211.35,132.29,537.50,73.14,281.60,96.89,811.11,135.90,597.59,140.57,240.54,129.02,476.28
2019-05,488.83,106.82,382.23,74.91,214.34,130.53,529.99,72.78,281.36,94.26,801.83,132.56,581.78,138.59,238.40,127.82,474.79
2019-06,497.21,107.38,383.13,75.65,214.87,131.62,537.11,73.23,282.51,100.60,831.44,135.51,590.76,141.14,243.95,127.18,478.69
2019-07,499.47,106.79,381.12,75.20,213.78,129.85,534.49,72.75,282.08,103.36,837.29,135.07,593.50,146.93,252.10,127.11,478.69
2019-08,497.54,106.30,379.05,73.70,212.26,127.74,526.49,71.79,280.25,99.70,837.97,134.60,589.05,154.58,262.16,127.24,480.93
2019-09,494.72,106.53,378.58,73.01,209.45,127.81,524.92,72.25,281.12,102.34,842.83,132.68,586.86,145.76,250.84,126.53,478.26
2019-10,495.18,106.21,378.16,72.72,209.21,126.62,522.73,72.39,282.20,101.42,836.08,133.64,593.25,140.44,242.87,126.96,479.99
2019-11,496.49,107.28,381.35,72.30,207.55,125.93,524.78,72.66,283.03,102.52,832.82,135.38,599.85,139.72,242.88,126.55,479.39
2019-12,503.26,109.56,388.54,73.35,210.19,125.67,532.94,73.01,285.56,104.86,843.38,137.77,612.14,140.28,242.87,128.14,481.03
2020-01,502.98,109.50,388.18,72.89,207.25,123.94,532.31,72.96,286.74,103.44,841.56,136.43,605.90,140.13,245.41,129.53,485.07
2020-02,491.95,110.92,391.63,72.52,204.65,120.51,516.07,72.63,286.69,97.85,822.71,132.96,584.66,138.07,241.32,127.20,476.55
2020-03,455.12,102.69,365.64,69.88,197.85,104.60,445.54,67.46,267.45,80.91,770.14,126.92,540.17,136.61,241.46,118.00,447.07
2020-04,465.59,105.35,372.18,71.11,200.83,108.84,464.37,69.35,261.91,84.45,791.26,130.90,562.90,136.47,238.96,119.86,453.53
2020-05,476.56,107.32,378.49,71.88,200.27,111.70,476.99,70.64,266.84,85.38,807.47,132.96,585.01,134.69,237.37,122.07,462.45
2020-06,481.62,109.49,385.67,73.07,203.83,114.53,487.63,71.95,273.65,86.14,803.07,136.33,590.93,132.41,233.74,122.50,463.11
2020-07,493.33,113.51,399.01,75.93,212.08,116.22,495.30,72.81,278.10,89.58,835.53,139.44,599.45,135.88,239.85,122.57,475.98
2020-08,501.25,115.09,404.06,76.41,211.75,117.28,510.47,73.75,281.11,90.81,850.33,145.35,614.62,134.14,236.02,123.57,479.88
2020-09,496.04,115.07,405.36,76.05,209.14,118.24,509.01,74.18,282.58,88.15,835.40,141.04,604.66,130.78,230.53,123.65,476.91
2020-10,493.29,115.74,407.00,75.46,207.98,117.69,506.96,74.46,284.54,86.26,825.65,141.61,600.34,129.90,229.98,121.37,475.53
2020-11,507.22,119.73,417.83,74.37,206.64,121.59,539.83,75.35,287.36,92.75,845.23,153.39,623.22,130.15,231.42,123.59,479.84
2020-12,525.64,121.81,420.88,75.64,210.06,125.12,559.31,76.16,291.01,98.59,881.72,161.65,648.10,137.55,243.22,126.49,499.20
2021-01,524.29,124.37,426.45,75.94,209.83,128.09,567.04,76.66,294.84,97.29,884.28,161.09,629.62,136.52,240.21,125.45,496.61
2021-02,536.37,127.33,435.39,77.07,212.82,130.81,584.72,76.20,295.83,97.28,892.07,169.24,658.06,142.12,247.63,126.17,503.70
2021-03,540.27,127.73,431.62,77.14,211.74,129.28,594.46,76.33,297.00,97.35,905.65,169.15,662.88,142.29,248.46,127.09,509.33
2021-04,553.80,127.11,434.49,78.55,216.62,131.01,605.40,76.90,300.49,103.30,936.74,172.90,682.73,145.72,254.91,129.96,520.26
2021-05,559.63,126.97,437.31,78.60,218.09,130.87,611.75,77.54,301.87,105.50,960.81,173.33,685.35,148.79,259.25,130.15,525.15
2021-06,555.57,126.64,437.80,78.40,215.68,131.51,615.15,76.85,301.56,103.69,933.09,172.19,680.57,146.92,257.68,129.91,520.17
2021-07,557.00,125.96,433.85,79.42,218.94,130.79,611.73,76.97,303.14,103.36,933.72,171.22,690.19,147.27,259.82,131.32,525.47
2021-08,561.97,126.36,437.24,79.33,218.78,130.51,625.92,77.02,303.85,104.11,941.52,172.71,696.11,147.43,259.86,133.10,526.95
2021-09,561.70,127.12,438.61,78.78,217.92,131.54,629.64,76.71,303.74,104.65,956.44,167.12,684.97,150.60,262.26,132.35,526.75
2021-10,568.42,127.73,444.23,78.30,218.78,131.63,639.81,75.61,302.54,104.51,959.09,170.54,699.52,154.84,272.23,132.68,528.17
2021-11,555.11,126.47,442.84,78.89,217.56,130.88,627.24,75.22,300.85,98.35,927.83,162.96,677.60,148.70,261.02,129.50,520.10
2021-12,565.17,126.94,445.01,79.63,221.51,129.77,628.33,75.85,304.50,105.41,959.19,165.19,697.08,149.66,261.32,133.19,530.64
2022-01,561.11,124.70,440.50,79.21,219.56,128.88,615.16,75.59,304.12,108.03,991.58,159.74,679.73,153.63,264.89,130.32,523.94
2022-02,562.85,124.80,438.71,79.48,220.54,128.61,612.21,74.36,302.15,109.41,1023.35,157.23,669.53,157.74,270.29,129.50,534.28
2022-03,575.83,122.38,432.95,80.59,220.78,128.13,612.97,73.47,300.82,117.22,1112.02,154.99,672.08,172.56,292.89,130.50,545.78
2022-04,577.54,121.55,434.65,79.85,218.57,127.79,607.51,72.45,298.94,121.91,1145.05,150.05,659.10,181.81,305.61,130.56,552.23
2022-05,573.16,119.22,423.69,80.05,220.82,126.06,598.78,72.06,299.57,123.06,1161.47,150.27,655.21,181.45,305.03,120.67,530.09
2022-06,560.40,118.08,420.44,80.06,218.06,124.53,576.32,70.58,293.50,120.46,1122.98,143.50,636.00,185.50,307.98,112.86,519.73
2022-07,562.25,119.70,421.16,78.84,213.92,124.87,581.38,70.37,295.05,116.74,1135.90,143.86,642.61,182.14,299.80,113.34,519.76
2022-08,563.90,121.79,425.68,79.35,216.61,125.40,584.26,70.12,294.36,118.41,1157.05,141.90,632.77,187.25,308.36,113.57,522.90
2022-09,558.90,120.55,422.88,79.28,213.98,123.23,568.42,68.24,291.49,115.98,1177.70,136.52,614.14,192.59,318.41,110.02,519.68
2022-10,560.80,120.98,420.75,78.61,214.42,123.23,572.10,68.83,292.10,114.27,1164.03,136.24,623.08,191.75,318.63,109.84,525.96
2022-11,561.09,120.68,418.80,79.52,217.50,123.47,576.20,69.62,292.47,108.76,1105.09,142.38,644.71,182.81,303.15,112.76,530.86
2022-12,560.06,120.86,421.88,80.67,220.93,123.70,574.19,70.42,295.67,105.30,1090.03,142.40,644.08,181.68,305.30,111.03,526.90
2023-01,569.19,122.33,422.02,80.94,222.24,124.44,585.55,71.58,299.11,104.22,1117.37,149.47,663.89,179.92,296.63,112.62,528.64
2023-02,562.79,122.93,421.84,80.58,220.86,124.20,582.40,71.37,300.39,105.64,1061.52,146.54,656.89,182.86,301.49,110.13,529.16
2023-03,557.65,121.49,421.06,81.67,222.65,123.72,578.29,71.91,299.04,102.41,1003.95,147.57,666.14,172.43,282.48,110.40,530.00
2023-04,558.45,121.33,418.83,82.08,224.06,123.96,581.28,72.21,299.29,104.23,1002.55,147.48,667.75,174.74,287.95,110.03,528.22
2023-05,556.41,122.09,420.69,80.76,220.59,123.28,580.56,72.04,299.67,99.70,977.95,146.82,666.53,178.53,292.39,108.44,527.40
2023-06,564.13,122.84,422.58,81.89,225.10,124.30,591.62,72.35,301.46,103.03,1010.45,148.43,675.79,179.56,295.51,108.16,530.01
2023-07,570.55,123.61,424.88,81.40,225.29,124.77,598.31,73.17,304.65,104.95,1006.19,150.89,683.42,177.88,292.97,114.08,551.69
2023-08,570.59,122.35,425.87,81.59,224.05,125.61,597.76,72.70,305.50,106.89,994.34,147.86,682.03,178.97,291.72,116.98,560.72
2023-09,571.66,121.76,421.91,82.00,225.21,127.39,597.48,72.55,304.75,108.47,1007.20,145.41,675.06,184.49,302.30,116.75,563.45
2023-10,570.19,118.68,422.18,82.34,226.25,126.71,587.71,72.59,305.92,107.64,1009.73,142.88,671.49,182.74,302.09,117.26,563.01
2023-11,577.82,120.44,424.23,83.79,230.31,127.29,600.92,73.63,309.74,107.21,1000.58,148.92,695.64,176.60,292.79,118.99,563.43
2023-12,581.05,121.50,430.25,84.16,231.15,128.30,615.26,74.50,312.22,105.49,1012.85,151.69,700.46,175.86,290.93,118.57,558.09
2024-01,588.52,121.36,426.32,84.42,232.78,128.97,617.33,74.87,314.56,109.59,1025.84,153.26,716.44,177.18,294.12,120.91,570.24
2024-02,599.88,121.90,433.96,84.62,234.60,129.99,628.95,75.45,317.39,115.92,1037.70,157.81,737.13,187.22,308.54,120.11,572.21
2024-03,609.56,123.01,433.92,85.20,237.51,131.27,638.63,75.99,319.25,123.46,1074.17,161.33,744.69,193.06,319.18,120.25,579.77
2024-04,609.76,122.17,433.66,85.58,238.29,131.45,634.10,76.14,321.35,124.47,1062.45,158.97,741.64,193.69,322.66,121.13,585.86
2024-05,613.29,122.72,436.17,86.20,240.74,132.45,643.61,77.12,325.15,121.62,1055.49,162.95,757.28,190.18,315.41,121.78,584.37
2024-06,616.25,122.88,438.93,86.86,243.68,133.34,646.07,77.07,325.25,118.45,1044.28,163.85,767.92,186.29,310.64,123.30,591.60
2024-07,618.27,124.54,442.43,87.32,242.20,134.39,651.79,80.85,334.49,117.18,1046.95,163.14,769.37,179.92,301.81,125.59,591.34
2024-08,615.92,125.97,445.10,88.90,247.22,135.62,657.18,81.18,328.79,111.11,1027.47,162.57,778.26,173.12,290.02,127.32,589.62
2024-09,625.99,127.36,449.82,89.30,248.58,136.31,667.04,81.80,333.12,114.35,1056.18,166.80,789.94,175.15,294.46,126.54,593.64
2024-10,619.32,128.07,454.47,88.79,246.48,135.79,671.05,81.51,333.21,111.63,1021.96,164.34,784.96,169.11,283.87,124.44,586.78
2024-11,629.26,129.46,455.07,88.72,246.34,137.01,685.62,81.01,333.81,116.16,1058.07,165.63,802.84,174.12,291.03,122.18,590.30
2024-12,628.10,129.10,454.63,88.95,245.85,137.98,684.57,80.66,333.41,116.96,1051.90,163.59,791.41,176.55,294.57,121.59,596.92
2025-01,641.28,130.47,457.95,89.76,249.34,138.96,694.31,81.41,336.31,124.67,1089.29,166.73,816.98,176.98,296.13,124.21,605.13
2025-02,641.66,130.95,463.63,90.63,250.34,139.38,693.66,81.89,338.39,124.22,1086.35,164.75,809.42,175.12,292.22,126.09,608.50
2025-03,638.53,130.70,464.16,92.58,255.67,139.85,686.79,82.14,340.93,123.45,1084.68,160.50,793.42,171.49,288.31,129.72,614.98
2025-04,634.55,128.63,462.10,93.78,260.07,139.32,682.85,82.72,343.08,119.84,1058.31,160.48,800.10,161.89,274.41,131.68,610.86
2025-05,642.21,130.34,468.02,95.04,262.79,140.65,693.86,83.07,344.50,119.42,1052.17,166.58,827.64,159.10,270.62,132.05,615.66
2025-06,648.86,130.77,467.13,95.90,265.77,141.62,703.47,84.71,348.01,121.70,1074.25,173.45,838.31,160.83,272.44,131.37,615.64
2025-07,650.96,131.50,471.44,94.84,263.22,142.88,713.03,84.22,349.11,121.47,1065.28,175.00,845.95,162.14,272.33,128.51,612.82
2025-08,661.71,131.92,471.66,95.88,265.74,144.35,717.80,85.02,352.86,125.87,1090.42,179.54,861.62,164.17,275.04,130.51,622.15
2025-08,661.71,131.92,471.66,95.88,265.74,144.35,717.80,85.02,352.86,125.87,1090.42,179.54,861.62,164.17,275.04,130.51,622.15
