date,ibmrtn,vwrtn,ewrtn,sprtn
1926-01-30,-0.01038,0.00072,0.02317,0.02247
1926-02-27,-0.02448,-0.03337,-0.05351,-0.04396
1926-03-31,-0.11559,-0.06434,-0.09682,-0.05911
1926-04-30,0.08978,0.03836,0.03295,0.02269
1926-05-28,0.03693,0.01217,0.00104,0.00768
1926-06-30,0.06849,0.05689,0.05049,0.04318
1926-07-31,0,0.02837,0.01308,0.04546
1926-08-31,0,0.02807,0.031,0.01708
1926-09-30,0.0651,0.00589,-0.0065,0.0229
1926-10-30,0.03226,-0.03107,-0.03463,-0.03134
1926-11-30,0.03125,0.02755,0.02478,0.02234
1926-12-31,0.0303,0.03047,0.02552,0.01658
1927-01-31,0.02304,0.00145,0.01256,-0.02076
1927-02-28,0.08108,0.04582,0.05576,0.04769
1927-03-31,0.18333,0.00625,-0.01929,0.0065
1927-04-30,0.07857,0.00664,0.00749,0.01723
1927-05-31,0.14901,0.05695,0.06269,0.05222
1927-06-30,-0.04899,-0.02037,-0.01971,-0.00939
1927-07-30,0,0.07566,0.05808,0.065
1927-08-31,0.11963,0.02705,0.00425,0.0445
1927-09-30,0.01918,0.04903,0.03231,0.04321
1927-10-31,-0.00815,-0.04189,-0.03853,-0.05309
1927-11-30,0.09041,0.06869,0.09776,0.06778
1927-12-31,0.21859,0.02366,0.02968,0.01904
1928-01-31,0.04167,-0.00354,0.03244,-0.0051
1928-02-29,0.028,-0.01442,-0.02251,-0.01764
1928-03-31,0.00486,0.09091,0.07158,0.10834
1928-04-30,-0.00684,0.04317,0.08747,0.03241
1928-05-31,-0.01575,0.01839,0.03759,0.01266
1928-06-30,-0.004,-0.04533,-0.06907,-0.0405
1928-07-31,-0.01014,0.01007,0.00305,0.01251
1928-08-31,0.07172,0.06961,0.0584,0.07411
1928-09-29,0.07839,0.03145,0.04924,0.02396
1928-10-31,0.03578,0.0188,0.01747,0.01451
1928-11-30,0.10535,0.12129,0.1152,0.11993
1928-12-31,0.03195,0.00526,-0.00555,0.00288
1929-01-31,-0.02003,0.0521,0.03353,0.05708
1929-02-28,0.05315,-0.00019,0.00649,-0.00583
1929-03-28,0.00155,-0.00797,-0.03211,-0.00235
1929-04-30,0.12422,0.01679,0.01402,0.01606
1929-05-31,-0.01181,-0.05911,-0.09105,-0.04279
1929-06-29,0.18847,0.09965,0.07343,0.11236
1929-07-31,0.10952,0.04535,0.01856,0.04562
1929-08-30,0.03434,0.08558,0.02837,0.09799
1929-09-30,-0.04824,-0.05001,-0.04373,-0.04888
1929-10-31,-0.18904,-0.1955,-0.21215,-0.19927
1929-11-27,-0.22297,-0.12327,-0.12253,-0.13375
1929-12-31,0.19426,0.01797,-0.0256,0.02534
1930-01-31,0.0108,0.05664,0.10983,0.06247
1930-02-28,0.06794,0.0277,0.0336,0.0215
1930-03-31,0.04932,0.07503,0.10375,0.0799
1930-04-30,-0.00412,-0.02089,-0.0416,-0.00955
1930-05-29,0.07586,-0.01325,-0.03723,-0.01647
1930-06-30,-0.10513,-0.15787,-0.18816,-0.16456
1930-07-31,0,0.03966,0.03763,0.03666
1930-08-29,0.04046,0.00412,-0.01732,0.00754
1930-09-30,-0.1125,-0.12401,-0.15048,-0.13009
1930-10-31,-0.09795,-0.08699,-0.09606,-0.08876
1930-11-29,0.02277,-0.02599,-0.02413,-0.02184
1930-12-31,0.08956,-0.07842,-0.13685,-0.07423
1931-01-31,0.025,0.06253,0.14183,0.04889
1931-02-28,0.1252,0.1094,0.15675,0.11436
1931-03-31,-0.04913,-0.06404,-0.06187,-0.06916
1931-04-30,-0.02301,-0.09848,-0.15087,-0.09587
1931-05-29,-0.21193,-0.13292,-0.14038,-0.13718
1931-06-30,0.19124,0.13796,0.18217,0.13902
1931-07-31,-0.09122,-0.06503,-0.07021,-0.07417
1931-08-31,0.07063,0.00235,-0.01872,0.00947
1931-09-30,-0.22917,-0.29007,-0.31275,-0.29942
1931-10-31,0.11416,0.07916,0.10533,0.08445
1931-11-30,-0.01639,-0.08878,-0.08822,-0.09782
1931-12-31,-0.07469,-0.13341,-0.18724,-0.14526
1932-01-30,-0.04556,-0.01078,0.08592,-0.02833
1932-02-29,0.02387,0.056,0.02273,0.0507
1932-03-31,-0.04295,-0.10874,-0.11956,-0.11822
1932-04-30,-0.16667,-0.17922,-0.18106,-0.20246
1932-05-31,-0.1625,-0.20752,-0.2023,-0.23328
1932-06-30,-0.04851,-0.00509,0.04128,-0.00895
1932-07-30,0.2008,0.33745,0.4335,0.37698
1932-08-31,0.35117,0.36603,0.66594,0.37541
1932-09-30,0.02475,-0.03089,-0.05944,-0.03695
1932-10-31,-0.13235,-0.13118,-0.16479,-0.13861
1932-11-30,-0.09746,-0.0557,-0.07387,-0.05891
1932-12-31,0.14554,0.04576,-0.03662,0.05191
1933-01-31,0.02083,0.00978,0.03588,0.00726
1933-02-28,-0.16735,-0.1503,-0.15544,-0.18444
1933-03-31,0,0.03399,0.10012,0.03357
1933-04-29,0.47059,0.38368,0.51825,0.42222
1933-05-31,0.08108,0.21186,0.60599,0.15865
1933-06-30,0.1375,0.13435,0.22643,0.13174
1933-07-31,0.02963,-0.09608,-0.09242,-0.08799
1933-08-31,0.06115,0.12127,0.11455,0.11457
1933-09-30,-0.09492,-0.10465,-0.15001,-0.11362
1933-10-31,-0.0161,-0.08323,-0.10789,-0.08851
1933-11-29,0.12416,0.09991,0.06509,0.10268
1933-12-30,-0.01199,0.01998,0.01724,0.02227
1934-01-31,0.02977,0.12978,0.31555,0.10594
1934-02-28,-0.02041,-0.02328,0.01086,-0.03671
1934-03-31,-0.06597,0.00478,0.00806,-0.00093
1934-04-30,0.07519,-0.01793,0.00026,-0.02698
1934-05-31,-0.06643,-0.07099,-0.10724,-0.08126
1934-06-30,0.05712,0.02515,0.00358,0.02081
1934-07-31,-0.04387,-0.10824,-0.1863,-0.11519
1934-08-31,0.02996,0.05962,0.09856,0.05415
1934-09-29,0.03636,-0.003,-0.01175,-0.00546
1934-10-31,-0.01418,-0.01932,-0.01923,-0.03187
1934-11-30,0.11151,0.08407,0.12871,0.08286
1934-12-31,0.01651,0.0039,0.01474,-0.00419
1935-01-31,-0.00656,-0.03281,-0.02966,-0.04211
1935-02-28,0.04951,-0.0186,-0.05602,-0.03956
1935-03-30,0.01022,-0.03704,-0.07335,-0.03089
1935-04-30,0.09348,0.08916,0.10163,0.09563
1935-05-31,-0.00862,0.03478,0.0244,0.03233
1935-06-29,0.03478,0.05527,0.04019,0.06785
1935-07-31,0.0339,0.07365,0.11038,0.08309
1935-08-31,-0.00683,0.02613,0.08308,0.02166
1935-09-30,-0.01376,0.02587,0.0238,0.02385
1935-10-31,0.01407,0.07134,0.08278,0.07507
1935-11-30,0.01248,0.05186,0.14578,0.03933
1935-12-31,0.01494,0.0461,0.06024,0.03707
1936-01-31,0.02453,0.06608,0.15017,0.06553
1936-02-29,-0.04788,0.0257,0.04562,0.01677
1936-03-31,0.03448,0.00942,0.00595,0.02543
1936-04-30,-0.09244,-0.0805,-0.12296,-0.07708
1936-05-29,0.02469,0.05029,0.05122,0.04575
1936-06-30,0.04518,0.02599,-0.00033,0.03056
1936-07-31,-0.04506,0.06464,0.08193,0.06806
1936-08-31,0.02283,0.01081,0.02145,0.00883
1936-09-30,0.02418,0.01434,0.03267,0.00125
1936-10-31,0.00257,0.06909,0.06376,0.07495
1936-11-30,0.11404,0.03329,0.09143,0.00407
1936-12-31,-0.00131,0.00207,0.02731,-0.00579
1937-01-30,-0.04437,0.03252,0.07622,0.03784
1937-02-27,-0.01594,0.01304,0.0239,0.01458
1937-03-31,-0.04539,-0.00354,0.00107,-0.0094
1937-04-30,0.01642,-0.07424,-0.10102,-0.08315
1937-05-28,-0.07077,-0.00856,-0.02452,-0.01035
1937-06-30,0.00331,-0.04159,-0.0767,-0.05289
1937-07-31,0.07,0.08888,0.09961,0.1026
1937-08-31,-0.06542,-0.04862,-0.05275,-0.05536
1937-09-30,-0.015,-0.1354,-0.19318,-0.14215
1937-10-30,-0.02222,-0.09468,-0.10155,-0.10174
1937-11-30,-0.07692,-0.08373,-0.10864,-0.10113
1937-12-31,0.04735,-0.0401,-0.09922,-0.05041
1938-01-31,0.0713,0.00763,0.04206,0.01327
1938-02-28,0.04778,0.05787,0.06106,0.0608
1938-03-31,-0.10049,-0.23713,-0.28556,-0.25044
1938-04-30,0.06923,0.14564,0.2062,0.14118
1938-05-31,0.01799,-0.03923,-0.07046,-0.04433
1938-06-30,0.09541,0.23606,0.30635,0.24703
1938-07-30,0.06515,0.07187,0.12184,0.07266
1938-08-31,-0.00612,-0.0272,-0.06379,-0.02742
1938-09-30,0.01231,0.00856,-0.01463,0.01493
1938-10-31,0.07055,0.07785,0.14454,0.07598
1938-11-30,0.0086,-0.01832,-0.03653,-0.03341
1938-12-31,0.05966,0.04101,0.03347,0.03771
1939-01-31,-0.03987,-0.05961,-0.07573,-0.06889
1939-02-28,0.0373,0.03494,0.04138,0.03252
1939-03-31,-0.03406,-0.11924,-0.17376,-0.13543
1939-04-29,-0.01488,-0.00233,0.00243,-0.00546
1939-05-31,0.07024,0.06873,0.08614,0.06227
1939-06-30,-0.00353,-0.05283,-0.0833,-0.06379
1939-07-31,0.06857,0.10176,0.1355,0.10866
1939-08-31,-0.09358,-0.06611,-0.1065,-0.07143
1939-09-30,-0.01475,0.15963,0.39188,0.16458
1939-10-31,0.08761,-0.00384,-0.00694,-0.01459
1939-11-30,0,-0.03678,-0.08131,-0.0491
1939-12-30,0.03958,0.03034,0.01781,0.02377
1940-01-31,-0.02896,-0.02402,-0.01998,-0.03523
1940-02-29,0.05132,0.01366,0.02973,0.00664
1940-03-30,-0.00679,0.01894,0.02617,0.00989
1940-04-30,-0.01336,0.0012,0.01312,-0.0049
1940-05-31,-0.1618,-0.22031,-0.26975,-0.23954
1940-06-29,-0.04762,0.06666,0.06655,0.07659
1940-07-31,0.02527,0.03223,0.03681,0.03106
1940-08-31,0.00528,0.02396,0.02322,0.02624
1940-09-30,0.09457,0.02303,0.03721,0.00947
1940-10-31,0.01777,0.02971,0.04922,0.0394
1940-11-30,0.00635,-0.01635,-0.00167,-0.04242
1940-12-31,0.01735,0.00681,-0.01879,-0.00283
1941-01-31,0.0007,-0.04051,-0.00732,-0.0482
1941-02-28,-0.01478,-0.01484,-0.01941,-0.0149
1941-03-31,0.03375,0.0096,0.01431,0.00403
1941-04-30,-0.08181,-0.05307,-0.05738,-0.06526
1941-05-31,0.06649,0.01386,0.01011,0.0043
1941-06-30,0.03491,0.05868,0.06691,0.05348
1941-07-31,0.02595,0.05952,0.13014,0.05482
1941-08-30,-0.00712,-0.00046,-0.00718,-0.00866
1941-09-30,0.02548,-0.00749,-0.02045,-0.00971
1941-10-31,-0.03135,-0.05179,-0.06203,-0.06863
1941-11-29,0.00324,-0.01937,-0.03421,-0.04211
1941-12-31,-0.01613,-0.04673,-0.08189,-0.04506
1942-01-31,-0.11167,0.00716,0.13081,0.01381
1942-02-28,-0.03718,-0.02415,-0.01758,-0.02497
1942-03-31,-0.03659,-0.06566,-0.05224,-0.06752
1942-04-30,-0.00855,-0.04315,-0.04626,-0.0437
1942-05-29,0.03933,0.06105,0.02888,0.06397
1942-06-30,0.10524,0.02548,0.02509,0.01841
1942-07-31,0.02846,0.03488,0.04641,0.03133
1942-08-31,0.01845,0.01866,0.0283,0.00701
1942-09-30,0.00362,0.0263,0.04756,0.02668
1942-10-31,0.02007,0.06769,0.10129,0.06441
1942-11-30,0.05903,0.0025,-0.01318,-0.0138
1942-12-31,0.02027,0.05042,0.03555,0.05167
1943-01-30,0.07985,0.0733,0.16855,0.07165
1943-02-27,0.01138,0.05992,0.13093,0.05062
1943-03-31,0.04221,0.06208,0.11214,0.05273
1943-04-30,0.00623,0.0069,0.03547,0.00086
1943-05-29,0.04954,0.05716,0.08451,0.04487
1943-06-30,0.00893,0.01691,0.01098,0.01982
1943-07-31,-0.01475,-0.04621,-0.06434,-0.05425
1943-08-31,0.03293,0.01299,0.00337,0.01027
1943-09-30,0.01901,0.02453,0.03487,0.02373
1943-10-30,-0.01004,-0.01222,-0.00394,-0.01325
1943-11-30,-0.03188,-0.05853,-0.08858,-0.0755
1943-12-31,0.04532,0.06362,0.09873,0.05898
1944-01-31,-0.0289,0.01807,0.04595,0.01542
1944-02-29,-0.02188,0.00369,0.01302,-0.00253
1944-03-31,0.10807,0.02442,0.04153,0.01692
1944-04-29,-0.00946,-0.01634,-0.02929,-0.01248
1944-05-31,0.01396,0.05096,0.06614,0.04044
1944-06-30,0.00585,0.05617,0.10494,0.05101
1944-07-31,0.01272,-0.01515,-0.01272,-0.0208
1944-08-31,0.03768,0.01593,0.03008,0.00866
1944-09-30,0.00697,0.00019,0.00025,-0.00312
1944-10-31,-0.03601,0.0025,0.00095,0
1944-11-30,0.06466,0.01646,0.02318,0.00391
1944-12-30,0.0068,0.04122,0.0693,0.03507
1945-01-31,-0.01527,0.01919,0.04335,0.01431
1945-02-28,0.04971,0.06428,0.08634,0.06162
1945-03-31,-0.009,-0.03873,-0.0568,-0.04615
1945-04-30,0.04469,0.07747,0.08884,0.08798
1945-05-31,0.04412,0.01863,0.03002,0.01146
1945-06-30,-0.01548,0.00342,0.03657,-0.00333
1945-07-31,0.00524,-0.0221,-0.03507,-0.02005
1945-08-31,0.01434,0.06112,0.06593,0.05798
1945-09-29,0.04145,0.04805,0.06265,0.04191
1945-10-31,0.10448,0.03902,0.06452,0.03032
1945-11-30,0.0991,0.05455,0.09757,0.03243
1945-12-31,-0.01856,0.01176,0.02407,0.00989
1946-01-31,0.02416,0.06331,0.09468,0.0697
1946-02-28,0.03333,-0.05785,-0.06691,-0.06947
1946-03-30,0.0575,0.05872,0.05792,0.0463
1946-04-30,0.1253,0.0429,0.05211,0.03761
1946-05-31,0.04832,0.03986,0.05475,0.02239
1946-06-28,-0.01613,-0.03914,-0.04889,-0.0391
1946-07-31,0.0123,-0.02547,-0.04084,-0.0255
1946-08-30,-0.06275,-0.06392,-0.07533,-0.07294
1946-09-30,-0.08261,-0.1002,-0.13555,-0.1015
1946-10-31,-0.00948,-0.01416,-0.01181,-0.00802
1946-11-30,0.00299,0.0012,-0.00263,-0.01146
1946-12-31,0.00961,0.05093,0.04691,0.04295
1947-01-31,0.05176,0.01513,0.0302,0.02353
1947-02-28,-0.03846,-0.01158,-0.00711,-0.01469
1947-03-31,-0.01185,-0.01706,-0.03043,-0.01685
1947-04-30,-0.07194,-0.04787,-0.08168,-0.03889
1947-05-29,0.04134,-0.01,-0.03732,-0.00892
1947-06-30,0.03,0.05365,0.0571,0.0526
1947-07-31,0.04369,0.04124,0.06167,0.03616
1947-08-29,0,-0.01751,-0.01717,-0.02792
1947-09-30,0.00234,-0.00442,0.00578,-0.01371
1947-10-31,0.01168,0.02461,0.03316,0.02118
1947-11-29,0.05514,-0.01831,-0.02931,-0.02852
1947-12-31,0.05756,0.03019,0.02386,0.02068
1948-01-31,-0.0875,-0.03727,-0.01628,-0.03987
1948-02-28,0.07877,-0.04344,-0.05945,-0.04697
1948-03-31,0.04851,0.08276,0.09584,0.07714
1948-04-30,0.00712,0.03778,0.04015,0.02653
1948-05-28,0.03887,0.07458,0.08763,0.07817
1948-06-30,0,-0.00018,-0.01253,0.003
1948-07-30,-0.04795,-0.05042,-0.05373,-0.05317
1948-08-31,0.08453,0.00385,-0.00182,0.00757
1948-09-30,-0.04841,-0.02954,-0.04279,-0.03006
1948-10-30,0.0807,0.06006,0.0532,0.06779
1948-11-30,-0.02841,-0.09063,-0.10632,-0.10822
1948-12-31,0.04962,0.0322,0.0137,0.03051
1949-01-31,0.05337,0.00304,0.01775,0.00132
1949-02-28,-0.04792,-0.02946,-0.0413,-0.03942
1949-03-31,0.04899,0.04152,0.05931,0.0301
1949-04-30,0.0306,-0.01787,-0.03149,-0.02125
1949-05-31,0,-0.02744,-0.04317,-0.03731
1949-06-30,-0.04717,0.00309,-0.00771,-0.00211
1949-07-29,0.10231,0.05585,0.06202,0.06215
1949-08-31,0,0.02659,0.02602,0.01197
1949-09-30,0.06024,0.03183,0.04325,0.02365
1949-10-31,0.1179,0.03122,0.03903,0.02953
1949-11-30,-0.01398,0.01884,0.0094,0.00125
1949-12-31,0.17617,0.0521,0.07012,0.04359
1950-01-31,0.05463,0.01728,0.04029,0.0173
1950-02-28,-0.00877,0.01464,0.0161,0.00997
1950-03-31,0.03778,0.0122,-0.00177,0.00407
1950-04-29,-0.01927,0.04026,0.04744,0.04511
1950-05-31,0.02183,0.04369,0.03319,0.03929
1950-06-30,-0.09871,-0.05794,-0.07574,-0.05804
1950-07-31,-0.09524,0.01612,0.05064,0.00848
1950-08-31,0.09474,0.0507,0.05189,0.03251
1950-09-29,0.02899,0.0488,0.05501,0.05592
1950-10-31,-0.00939,-0.00111,-0.0055,0.00411
1950-11-30,0.01066,0.02852,0.03162,-0.00102
1950-12-30,0.01767,0.0577,0.08455,0.04613
1951-01-31,0.05729,0.05824,0.07625,0.06124
1951-02-28,-0.04138,0.01443,0.01159,0.00646
1951-03-31,-0.01807,-0.02095,-0.03389,-0.01835
1951-04-30,0.00614,0.04961,0.04081,0.04813
1951-05-31,-0.00244,-0.02262,-0.02492,-0.04057
1951-06-29,-0.0172,-0.02532,-0.04493,-0.02602
1951-07-31,0.07,0.07117,0.06333,0.0687
1951-08-31,0.03972,0.04508,0.04744,0.03929
1951-09-28,-0.02032,0.00918,0.02363,-0.00086
1951-10-31,-0.06452,-0.0224,-0.02361,-0.01376
1951-11-30,0.00985,0.00592,0.00719,-0.00262
1951-12-31,0.07108,0.0349,0.01525,0.0389
1952-01-31,-0.0329,0.01691,0.01749,0.01557
1952-02-29,-0.04845,-0.02498,-0.02065,-0.03645
1952-03-31,0.00787,0.04559,0.02886,0.04772
1952-04-30,-0.01302,-0.0489,-0.04494,-0.04309
1952-05-29,0.06069,0.03287,0.02452,0.02316
1952-06-30,0.095,0.03928,0.03073,0.0461
1952-07-31,-0.00457,0.01148,0.01065,0.01763
1952-08-29,-0.00803,-0.00658,0.00006,-0.01457
1952-09-30,-0.01974,-0.01899,-0.01516,-0.01958
1952-10-31,0.02133,-0.00546,-0.01172,-0.00082
1952-11-28,0.07193,0.0588,0.05564,0.04649
1952-12-31,0.07397,0.03121,0.02264,0.03546
1953-01-30,-0.01382,-0.00134,0.02471,-0.00715
1953-02-27,0.02802,-0.00171,0.01203,-0.0182
1953-03-31,0.01474,-0.01342,-0.01049,-0.02355
1953-04-30,-0.04979,-0.02747,-0.02403,-0.02649
1953-05-29,0.05022,0.00714,0.0059,-0.00325
1953-06-30,-0.03027,-0.01666,-0.03167,-0.0163
1953-07-31,0.03337,0.02533,0.01757,0.02527
1953-08-31,-0.00417,-0.04409,-0.05187,-0.05778
